movie,trigger,quote
Apollo 13,failure,Failure is not an option!
Dead Poets Society,captain,O Captain! My Captain!
Deep Space Nine,real,It’s a fake!
Demolition Man,toilet paper,He doesn't know how to use the three seashells!
Demolition Man,seashells,Be well.
Demolition Man,taco bell,Now all restaurants are Taco Bell.
Die Hard,yippee,"Yippee-keye-yay, motherfucker!"
Farscape,daddy,I'm your daddy.
Farscape,human,Weak species.
Firefly,awesome,Shiny.
Firefly,cool,Shiny.
Firefly,curse,Curse your sudden but inevitable betrayal!
Firefly,leaf on the wind,Watch how I soar.
Firefly,stop me,No power in the verse can stop me.
Firefly,behave,I aim to misbehave.
Galaxy Quest,give up,"Never give up, never surrender!"
Galaxy Quest,hammer,By Grabthar's hammer... what a savings.
Hot Fuzz,greater good,The Greater Good.
Hot Fuzz,swan,"Just the one swan, actually."
Hot Fuzz,yarp,...Narp?
Hot Fuzz,hag,Fascist!
Office Space,monday,Sounds like someone has a case of the Mondays.
Office Space,case of the mondays,"No. No, man. Shit, no, man. I believe you'd get your ass kicked sayin' something like that, man."
Office Space,flair,We need to talk about your flair.
Project Hail Mary,fist bump,Fist my bump!
Project Hail Mary,amazing,Amaze. Amaze. Amaze.
Project Hail Mary,amaze,Amaze. Amaze. Amaze.
Project Hail Mary,question,{user} question is dumb.
Star Trek,engage,Make it so.
Star Trek,illogical,Fascinating.
Star Trek,live long,...and prosper.
Starship Troopers,my part,I'm doing my part!
Starship Troopers,fun fact,Would you like to know more?
Starship Troopers,did you know,Would you like to know more?
Starship Troopers,bug,The only good bug is a dead bug!
The Expanse,space,Beltalowda!
The Fifth Element,green,Super green.
The Fifth Element,multipass,Leeloo Dallas multipass!
The Fifth Element,boom,Big badaboom!
The Fifth Element,meat popsicle,"Negative, I am a meat popsicle."
The Princess Bride,impossible,Inconceivable!
The Princess Bride,inconceivable,You keep using that word. I do not think it means what you think it means.
Tucker and Dale vs Evil,rough day or bad day,"We have had a doozy of a day, officer."
Tucker and Dale vs Evil,college kids,We got yer friend!
Tucker and Dale vs Evil,wood chipper,He just hucked himself right into the wood chipper!
