movie,trigger,quote
2001 A Space Odyssey,miss minutes,I'm sorry {user} I'm afraid I can't do that
Aliens,game over,Game over man, game over!
Anchorman,escalated,Boy, that escalated quickly.
Anchorman,percent,60% of the time, it works every time.
Animal House,bored,TOGA! TOGA! TOGA!
Animal House,party,TOGA! TOGA! TOGA!
Animal House,warning,"As of this moment, {user} is on double secret probation!"
Apollo 13,failure,Failure is not an option!
Army of Darkness,weapon,This... is my BOOMSTICK!
Batman,serious,Why. So. Serious?
Dead Poets Society,captain,O Captain! My Captain!
Demolition Man,seashells,Ha ha, {user} doesn't know how to use the three seashells!
Demolition Man,taco bell,Now all restaurants are Taco Bell.
Demolition Man,toilet paper,He doesn't know how to use the three seashells!
Die Hard,yippee,"Yippee-keye-yay, motherfucker!"
Dumb and Dumber,there's a chance,So you're telling me there's a chance... YEAH!
Dune,fear,Fear is the mind-killer.
Farscape,daddy,I'm your daddy.
Farscape,human,Weak species.
Firefly,awesome,Shiny.
Firefly,behave,I aim to misbehave.
Firefly,cool,Shiny.
Firefly,curse,Curse your sudden but inevitable betrayal!
Firefly,leaf on the wind,Watch how I soar.
Firefly,stop me,No power in the verse can stop me.
Futurama,money,Shut up and take my money!
Futurama,good news,Good news, everyone!
Galaxy Quest,give up,"Never give up, never surrender!"
Galaxy Quest,hammer,By Grabthar's hammer... what a savings.
Hitchhiker's Guide to the Galaxy,panic,DON'T PANIC.
Hot Fuzz,greater good,The Greater Good.
Hot Fuzz,hag,Fascist!
Hot Fuzz,swan,"Just the one swan, actually."
Hot Fuzz,yarp,...Narp?
Office Space,monday,Sounds like someone has a case of the Mondays.
Office Space,case of the mondays,"No. No, man. Shit, no, man. I believe you'd get your ass kicked sayin' something like that, man."
Office Space,flair,We need to talk about your flair.
Project Hail Mary,amazing,Amaze. Amaze. Amaze.
Project Hail Mary,fist bump,Fist my bump!
Project Hail Mary,question,{user} question is dumb.
Rush Hour,what are you saying,Do you understand the words that are coming out of my mouth?
Scarface,hello,Say hello to my little friend!
Star Trek,beam me up scotty,sparkle sparkle woosh!
Star Trek,engage,Make it so.
Star Trek,illogical,Fascinating.
Star Trek,live long,...and prosper.
Star Trek,real,It’s a fake!
Star Wars,hello there,General Kenobi!
Star Wars,trap,It's a trap!
Star Wars,try,Do or do not. There is no try.
Starship Troopers,bug,The only good bug is a dead bug!
Starship Troopers,did you know,Would you like to know more?
Starship Troopers,fun fact,Would you like to know more?
Starship Troopers,my part,I'm doing my part!
Super Troopers,meow,"Do I look like a cat to you, boy? Am I jumpin' around all nimbly-bimbly from tree to tree?"
The Big Lebowski,opinion,"Yeah, well, you know, that's just, like, your opinion, man."
The Expanse,space,Beltalowda!
The Fifth Element,boom,Big badaboom!
The Fifth Element,fire,"Korben, my man! I ain't got no fire!"
The Fifth Element,give me the cash,That's a very nice hat.
The Fifth Element,green,Super green.
The Fifth Element,what's up,"Korben, my man!"
The Fifth Element,meat popsicle,"Negative, I am a meat popsicle."
The Fifth Element,multipass,Leeloo Dallas multipass!
The Fifth Element,perfect,But who cares!
The Matrix,kung fu,I know kung fu.
The Princess Bride,impossible,Inconceivable!
The Princess Bride,inconceivable,You keep using that word. I do not think it means what you think it means.
Tucker and Dale vs Evil,bad day,We have had a doozy of a day.
Tucker and Dale vs Evil,college kids,We got yer friend!
Tucker and Dale vs Evil,wood chipper,He just hucked himself right into the wood chipper!
